(Item id : 18, Amount : 1)
(Item id : 32, Amount : 1)
(Item id : 6336, Amount : 1)
(Item id : 274, Amount : 9)
(Item id : 3036, Amount : 200)
(Item id : 5638, Amount : 3)
(Item id : 2392, Amount : 2)
(Item id : 2912, Amount : 4)
(Item id : 10394, Amount : 10)
(Item id : 784, Amount : 28)
(Item id : 11558, Amount : 1)
(Item id : 1488, Amount : 42)
(Item id : 8470, Amount : 2)
(Item id : 242, Amount : 41)
(Item id : 2, Amount : 141)
(Item id : 764, Amount : 144)
(Item id : 140, Amount : 1)
(Item id : 1796, Amount : 54)
(Item id : 276, Amount : 19)
(Item id : 9500, Amount : 1)
(Item id : 10534, Amount : 1)
(Item id : 490, Amount : 1)
(Item id : 3130, Amount : 2)
(Item id : 1762, Amount : 1)
(Item id : 10262, Amount : 1)
(Item id : 2638, Amount : 1)
(Item id : 3112, Amount : 2)
(Item id : 8462, Amount : 1)
(Item id : 7914, Amount : 1)
(Item id : 11594, Amount : 1)
(Item id : 1092, Amount : 1)
(Item id : 9516, Amount : 1)
(Item id : 11386, Amount : 1)
(Item id : 3400, Amount : 2)
(Item id : 9194, Amount : 1)
(Item id : 5184, Amount : 1)
(Item id : 782, Amount : 152)
(Item id : 7962, Amount : 88)
(Item id : 6284, Amount : 1)
(Item id : 1822, Amount : 1)
(Item id : 408, Amount : 14)
(Item id : 10684, Amount : 1)
(Item id : 3098, Amount : 118)
(Item id : 8550, Amount : 1)
(Item id : 1968, Amount : 1)
(Item id : 9492, Amount : 1)
(Item id : 278, Amount : 9)
(Item id : 8430, Amount : 1)
(Item id : 11556, Amount : 1)
(Item id : 8428, Amount : 199)
(Item id : 7084, Amount : 1)
(Item id : 9490, Amount : 1)
(Item id : 8286, Amount : 1)
(Item id : 8442, Amount : 1)
(Item id : 2978, Amount : 54)
(Item id : 7124, Amount : 1)
(Item id : 4328, Amount : 1)
(Item id : 5192, Amount : 1)
(Item id : 9154, Amount : 1)
(Item id : 1004, Amount : 197)
(Item id : 4330, Amount : 2)
(Item id : 8366, Amount : 1)
(Item id : 3738, Amount : 1)
(Item id : 5667, Amount : 3)
(Item id : 3416, Amount : 1)
(Item id : 11664, Amount : 1)
(Item id : 2050, Amount : 1)
(Item id : 4450, Amount : 64)
(Item id : 2036, Amount : 3)
(Item id : 3492, Amount : 11)
(Item id : 2034, Amount : 7)
(Item id : 1828, Amount : 6)
(Item id : 1946, Amount : 1)
(Item id : 776, Amount : 13)
(Item id : 3026, Amount : 25)
(Item id : 954, Amount : 14)
(Item id : 768, Amount : 10)
(Item id : 3004, Amount : 50)
(Item id : 1276, Amount : 3)
(Item id : 3092, Amount : 200)
(Item id : 1292, Amount : 200)
(Item id : 3494, Amount : 3)
(Item id : 3094, Amount : 200)
(Item id : 3038, Amount : 49)
(Item id : 2810, Amount : 3)
(Item id : 5716, Amount : 1)
(Item id : 5666, Amount : 200)
(Item id : 1060, Amount : 1)
(Item id : 3898, Amount : 97)
(Item id : 1486, Amount : 100)
(Item id : 3722, Amount : 40)
(Item id : 11196, Amount : 10)
(Item id : 362, Amount : 2)
(Item id : 3724, Amount : 5)
(Item id : 1062, Amount : 56)
(Item id : 3032, Amount : 82)
(Item id : 1008, Amount : 1)
(Item id : 9146, Amount : 1)
(Item id : 187, Amount : 50)
(Item id : 3008, Amount : 1)
(Item id : 454, Amount : 199)
(Item id : 1154, Amount : 200)
(Item id : 526, Amount : 200)
(Item id : 4297, Amount : 2)
(Item id : 8214, Amount : 200)
(Item id : 3838, Amount : 197)
(Item id : 1423, Amount : 50)
(Item id : 3096, Amount : 200)
(Item id : 3034, Amount : 89)
(Item id : 682, Amount : 9)
(Item id : 9380, Amount : 41)
(Item id : 3, Amount : 10)
(Item id : 3016, Amount : 5)
(Item id : 12, Amount : 13)
(Item id : 1260, Amount : 191)
(Item id : 9068, Amount : 2)
(Item id : 1262, Amount : 192)
(Item id : 15, Amount : 2)
(Item id : 3536, Amount : 125)
(Item id : 1256, Amount : 200)
(Item id : 4812, Amount : 1)
(Item id : 8500, Amount : 200)
(Item id : 2866, Amount : 1)
(Item id : 8558, Amount : 26)
(Item id : 1264, Amount : 195)
(Item id : 1266, Amount : 196)
(Item id : 1268, Amount : 200)
(Item id : 1270, Amount : 193)
(Item id : 4308, Amount : 200)
(Item id : 4310, Amount : 200)
(Item id : 4312, Amount : 196)
(Item id : 4314, Amount : 200)
(Item id : 4316, Amount : 196)
(Item id : 1208, Amount : 1)
(Item id : 9310, Amount : 200)
(Item id : 3172, Amount : 36)
(Item id : 4298, Amount : 3)
(Item id : 4296, Amount : 190)
(Item id : 1290, Amount : 200)
(Item id : 3270, Amount : 1)
(Item id : 1294, Amount : 196)
(Item id : 1248, Amount : 200)
(Item id : 1288, Amount : 200)
(Item id : 1284, Amount : 200)
(Item id : 1258, Amount : 196)
(Item id : 4176, Amount : 145)
(Item id : 1242, Amount : 200)
(Item id : 4300, Amount : 20)
(Item id : 1244, Amount : 200)
(Item id : 1286, Amount : 200)
(Item id : 2586, Amount : 136)
(Item id : 1282, Amount : 200)
(Item id : 1246, Amount : 200)
(Item id : 8488, Amount : 2)
(Item id : 2992, Amount : 2)
(Item id : 8444, Amount : 1)
(Item id : 4318, Amount : 197)
(Item id : 3478, Amount : 4)
(Item id : 3480, Amount : 4)
(Item id : 3482, Amount : 4)
(Item id : 3040, Amount : 1)
(Item id : 8552, Amount : 2)
(Item id : 8456, Amount : 1)
(Item id : 50, Amount : 1)
(Item id : 10570, Amount : 1)
(Item id : 2278, Amount : 1)
(Item id : 4324, Amount : 1)
(Item id : 4326, Amount : 1)
(Item id : 1422, Amount : 36)
(Item id : 1426, Amount : 9)
(Item id : 1428, Amount : 9)
(Item id : 1432, Amount : 8)
(Item id : 1430, Amount : 9)
(Item id : 1446, Amount : 9)
(Item id : 1434, Amount : 9)
(Item id : 1420, Amount : 9)
(Item id : 8482, Amount : 1)
(Item id : 9000, Amount : 2)
(Item id : 8478, Amount : 1)
(Item id : 4334, Amount : 2)
(Item id : 3790, Amount : 2)
(Item id : 1, Amount : 200)
(Item id : 3402, Amount : 20)
(Item id : 611, Amount : 50)
(Item id : 8426, Amount : 2)
(Item id : 5138, Amount : 1)
(Item id : 340, Amount : 200)
(Item id : 341, Amount : 200)
(Item id : 8284, Amount : 1)
(Item id : 4322, Amount : 1)
(Item id : 8480, Amount : 1)
(Item id : 10112, Amount : 1)
(Item id : 2976, Amount : 2)
(Item id : 11224, Amount : 1)
(Item id : 1274, Amount : 1)
(Item id : 3484, Amount : 7)
(Item id : 4080, Amount : 1)
(Item id : 3486, Amount : 2)
(Item id : 3488, Amount : 2)
(Item id : 3490, Amount : 2)
(Item id : 5136, Amount : 1)
(Item id : 6026, Amount : 200)
(Item id : 5428, Amount : 200)
(Item id : 3884, Amount : 200)
(Item id : 1674, Amount : 200)
(Item id : 5037, Amount : 1)
(Item id : 1844, Amount : 1)
(Item id : 3479, Amount : 14)
(Item id : 0, Amount : 0)
(Item id : 0, Amount : 0)
(Item id : 0, Amount : 0)
(Item id : 0, Amount : 0)
(Item id : 0, Amount : 0)
(Item id : 0, Amount : 0)
(Item id : 0, Amount : 0)
(Item id : 0, Amount : 0)
(Item id : 0, Amount : 0)
